Delay (ps) - A ch X	Lockin Signal - A ch X	Delay (ps) - A ch Y	Lockin Signal - A ch Y	Delay (ps) - B ch X	Lockin Signal - B ch X	Delay (ps) - B ch Y	Lockin Signal - B ch Y	
51.7600	8.79E-3	51.7600	-2.18E-3	51.7600	8.79E-3	51.7600	-2.18E-3	
51.7650	8.80E-3	51.7650	-2.18E-3	51.7650	8.80E-3	51.7650	-2.18E-3	
51.7700	8.81E-3	51.7700	-2.18E-3	51.7700	8.81E-3	51.7700	-2.18E-3	
51.7750	8.82E-3	51.7750	-2.18E-3	51.7750	8.82E-3	51.7750	-2.18E-3	
51.7800	8.83E-3	51.7800	-2.18E-3	51.7800	8.83E-3	51.7800	-2.18E-3	
51.7850	8.82E-3	51.7850	-2.17E-3	51.7850	8.82E-3	51.7850	-2.17E-3	
51.7900	8.84E-3	51.7900	-2.18E-3	51.7900	8.84E-3	51.7900	-2.18E-3	
51.7950	8.86E-3	51.7950	-2.18E-3	51.7950	8.86E-3	51.7950	-2.18E-3	
51.8000	8.86E-3	51.8000	-2.18E-3	51.8000	8.86E-3	51.8000	-2.18E-3	
51.8050	8.87E-3	51.8050	-2.17E-3	51.8050	8.87E-3	51.8050	-2.17E-3	
51.8100	8.87E-3	51.8100	-2.18E-3	51.8100	8.87E-3	51.8100	-2.18E-3	
51.8150	8.87E-3	51.8150	-2.18E-3	51.8150	8.87E-3	51.8150	-2.18E-3	
51.8200	8.88E-3	51.8200	-2.18E-3	51.8200	8.88E-3	51.8200	-2.18E-3	
51.8250	8.90E-3	51.8250	-2.17E-3	51.8250	8.90E-3	51.8250	-2.17E-3	
51.8300	8.91E-3	51.8300	-2.17E-3	51.8300	8.91E-3	51.8300	-2.17E-3	
51.8350	8.93E-3	51.8350	-2.17E-3	51.8350	8.93E-3	51.8350	-2.17E-3	
51.8400	8.93E-3	51.8400	-2.17E-3	51.8400	8.93E-3	51.8400	-2.17E-3	
51.8450	8.95E-3	51.8450	-2.17E-3	51.8450	8.95E-3	51.8450	-2.17E-3	
51.8500	8.96E-3	51.8500	-2.17E-3	51.8500	8.96E-3	51.8500	-2.17E-3	
51.8550	8.98E-3	51.8550	-2.17E-3	51.8550	8.98E-3	51.8550	-2.17E-3	
51.8600	9.00E-3	51.8600	-2.17E-3	51.8600	9.00E-3	51.8600	-2.17E-3	
51.8650	9.00E-3	51.8650	-2.16E-3	51.8650	9.00E-3	51.8650	-2.16E-3	
51.8700	9.01E-3	51.8700	-2.16E-3	51.8700	9.01E-3	51.8700	-2.16E-3	
51.8750	9.03E-3	51.8750	-2.16E-3	51.8750	9.03E-3	51.8750	-2.16E-3	
51.8800	9.04E-3	51.8800	-2.16E-3	51.8800	9.04E-3	51.8800	-2.16E-3	
51.8850	9.05E-3	51.8850	-2.16E-3	51.8850	9.05E-3	51.8850	-2.16E-3	
51.8900	9.07E-3	51.8900	-2.16E-3	51.8900	9.07E-3	51.8900	-2.16E-3	
51.8950	9.08E-3	51.8950	-2.16E-3	51.8950	9.08E-3	51.8950	-2.16E-3	
51.9000	9.09E-3	51.9000	-2.15E-3	51.9000	9.09E-3	51.9000	-2.15E-3	
51.9050	9.12E-3	51.9050	-2.15E-3	51.9050	9.12E-3	51.9050	-2.15E-3	
51.9100	9.14E-3	51.9100	-2.15E-3	51.9100	9.14E-3	51.9100	-2.15E-3	
51.9150	9.15E-3	51.9150	-2.14E-3	51.9150	9.15E-3	51.9150	-2.14E-3	
51.9200	9.16E-3	51.9200	-2.15E-3	51.9200	9.16E-3	51.9200	-2.15E-3	
51.9250	9.17E-3	51.9250	-2.15E-3	51.9250	9.17E-3	51.9250	-2.15E-3	
51.9300	9.19E-3	51.9300	-2.14E-3	51.9300	9.19E-3	51.9300	-2.14E-3	
51.9350	9.20E-3	51.9350	-2.14E-3	51.9350	9.20E-3	51.9350	-2.14E-3	
51.9400	9.22E-3	51.9400	-2.14E-3	51.9400	9.22E-3	51.9400	-2.14E-3	
51.9450	9.23E-3	51.9450	-2.14E-3	51.9450	9.23E-3	51.9450	-2.14E-3	
51.9500	9.24E-3	51.9500	-2.14E-3	51.9500	9.24E-3	51.9500	-2.14E-3	
51.9550	9.28E-3	51.9550	-2.14E-3	51.9550	9.28E-3	51.9550	-2.14E-3	
51.9600	9.30E-3	51.9600	-2.13E-3	51.9600	9.30E-3	51.9600	-2.13E-3	
51.9650	9.33E-3	51.9650	-2.13E-3	51.9650	9.33E-3	51.9650	-2.13E-3	
51.9700	9.36E-3	51.9700	-2.13E-3	51.9700	9.36E-3	51.9700	-2.13E-3	
51.9750	9.39E-3	51.9750	-2.13E-3	51.9750	9.39E-3	51.9750	-2.13E-3	
51.9800	9.44E-3	51.9800	-2.12E-3	51.9800	9.44E-3	51.9800	-2.12E-3	
51.9850	9.47E-3	51.9850	-2.12E-3	51.9850	9.47E-3	51.9850	-2.12E-3	
51.9900	9.49E-3	51.9900	-2.11E-3	51.9900	9.49E-3	51.9900	-2.11E-3	
51.9950	9.52E-3	51.9950	-2.11E-3	51.9950	9.52E-3	51.9950	-2.11E-3	
52.0000	9.56E-3	52.0000	-2.10E-3	52.0000	9.56E-3	52.0000	-2.10E-3	
52.0050	9.62E-3	52.0050	-2.10E-3	52.0050	9.62E-3	52.0050	-2.10E-3	
52.0100	9.64E-3	52.0100	-2.09E-3	52.0100	9.64E-3	52.0100	-2.09E-3	
52.0150	9.68E-3	52.0150	-2.09E-3	52.0150	9.68E-3	52.0150	-2.09E-3	
52.0200	9.73E-3	52.0200	-2.08E-3	52.0200	9.73E-3	52.0200	-2.08E-3	
